participant verb noun landmark input hilo
participant20 stray thought roam 7 low
participant20 stray discussion digress 6 high
participant20 stray eye roam 7 high
participant20 stray child digress 1 low
participant20 throb body pulse 5 high
participant20 throb head shudder 2 low
participant20 throb voice shudder 3 low
participant20 throb vein pulse 6 high
participant20 chatter machine click 4 high
participant20 chatter girl gabble 6 high
participant20 chatter child click 4 low
participant20 chatter tooth gabble 3 low
participant20 rebound shot ricochet 7 high
participant20 rebound ball rally 2 low
participant20 rebound share ricochet 6 low
participant20 rebound optimism rally 4 high
participant20 flicker tongue waver 4 low
participant20 flicker screen flick 2 high
participant20 flicker interest waver 4 high
participant20 flicker hope flick 1 low
participant20 subside flood lessen 6 high
participant20 subside fear lessen 5 high
participant20 subside symptom sink 4 low
participant20 subside island sink 2 high
participant20 slump shoulder slouch 6 high
participant20 slump sale slouch 6 low
participant20 slump value decline 7 high
participant20 slump man decline 1 low
participant20 bow butler submit 3 low
participant20 bow company submit 5 high
participant20 bow head stoop 5 high
participant20 bow government stoop 4 low
participant20 erupt fountain burst 1 high
participant20 erupt temper flare 6 high
participant20 erupt storm flare 6 low
participant20 erupt conflict burst 5 low
participant20 recoil heart flinch 6 high
participant20 recoil rifle kick 7 high
participant20 recoil eye flinch 5 high
participant20 recoil hand kick 5 low
participant20 boom noise prosper 3 low
participant20 boom export prosper 7 high
participant20 boom sale thunder 3 low
participant20 boom gun thunder 6 high
participant20 waver opinion fluctuate 6 high
participant20 waver concentration falter 4 low
participant20 waver courage fluctuate 2 low
participant20 waver determination falter 4 high
participant20 flare cigarette erupt 6 low
participant20 flare eye flame 5 high
participant20 flare argument erupt 5 high
participant20 flare row flame 6 low
participant20 reel industry whirl 6 low
participant20 reel mind whirl 6 high
participant20 reel head stagger 5 low
participant20 reel man stagger 5 high
participant20 glow fire burn 5 high
participant20 glow face beam 7 high
participant20 glow cigar beam 5 low
participant20 glow skin burn 1 low
participant21 stray thought roam 5 low
participant21 stray discussion digress 7 high
participant21 stray eye roam 6 high
participant21 stray child digress 7 low
participant21 throb body pulse 4 high
participant21 throb head shudder 1 low
participant21 throb voice shudder 2 low
participant21 throb vein pulse 6 high
participant21 flare cigarette erupt 3 low
participant21 flare eye flame 4 high
participant21 flare argument erupt 6 high
participant21 flare row flame 5 low
participant21 rebound shot ricochet 5 high
participant21 rebound ball rally 3 low
participant21 rebound share ricochet 6 low
participant21 rebound optimism rally 2 high
participant21 flicker tongue waver 2 low
participant21 flicker screen flick 1 high
participant21 flicker interest waver 7 high
participant21 flicker hope flick 1 low
participant21 subside flood lessen 6 high
participant21 subside fear lessen 6 high
participant21 subside symptom sink 4 low
participant21 subside island sink 7 high
participant21 slump shoulder slouch 7 high
participant21 slump sale slouch 6 low
participant21 slump value decline 7 high
participant21 slump man decline 1 low
participant21 bow butler submit 2 low
participant21 bow head stoop 4 high
participant21 bow company submit 6 high
participant21 bow government stoop 1 low
